Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh,Sustainability_Score
10/11/2023,Kivihaka Distribution Center,South,3067.04,1993.77,28868.5,835.33,78.41,94.99,Oy EL-Ho Oy,86.93,109.06,119.72,85.94
10/12/2023,Wartsila Smart Technology Hub,South,4250.04,614.82,37761.01,549.1,76.3,94.93,Ahola Transport,79.6,104.38,290.42,82.88
10/13/2023,Vaasa Logistics Center,West,2849.0,2030.87,20251.13,626.0,93.98,86.11,KWH Logistics,77.41,209.3,413.17,86.65
10/14/2023,Wartsila Smart Technology Hub,East,3094.91,1404.04,17269.87,689.23,94.31,90.38,Ahola Transport,76.54,152.57,860.04,87.8
10/15/2023,Vaskiluoto Power Plant,East,1660.12,1016.43,13318.44,423.45,91.17,93.9,KWH Logistics,88.93,284.45,113.01,91.31
10/16/2023,Vaskiluoto Power Plant,West,4498.87,876.58,25707.96,848.22,81.09,91.99,KWH Logistics,81.8,158.29,288.71,84.57
10/17/2023,Wartsila Smart Technology Hub,North,2935.09,2128.33,49976.92,1121.66,76.95,79.95,Oy EL-Ho Oy,89.5,159.13,761.79,81.61
10/18/2023,Kivihaka Distribution Center,West,883.43,2396.98,33834.8,296.59,88.68,84.01,KWH Logistics,76.31,183.04,697.26,83.57
10/19/2023,Kivihaka Distribution Center,East,2900.69,634.6,16328.08,567.03,83.8,77.58,KWH Logistics,81.31,485.58,674.11,81.19
10/20/2023,Vaskiluoto Power Plant,North,3059.72,533.02,44830.18,535.37,77.44,94.08,Oy EL-Ho Oy,85.79,155.54,804.35,84.94
10/21/2023,Wartsila Smart Technology Hub,East,871.17,249.34,8704.95,502.79,84.9,87.12,Oy EL-Ho Oy,90.81,449.95,968.73,87.34
10/22/2023,Vaasa Logistics Center,North,4107.26,2011.48,36545.07,196.25,75.69,79.57,Oy EL-Ho Oy,81.38,339.97,697.96,78.56
10/23/2023,Kivihaka Distribution Center,East,1785.38,2226.56,32849.32,635.34,93.19,88.43,Oy EL-Ho Oy,87.52,71.64,648.38,90.06
10/24/2023,Kivihaka Distribution Center,West,5801.1,3195.84,55929.59,304.39,80.18,87.36,LEKO Logistics,92.72,324.98,929.62,86.09
10/25/2023,Kivihaka Distribution Center,South,815.26,2124.45,14298.07,514.23,88.25,82.16,KWH Logistics,87.32,365.14,323.06,86.14
10/26/2023,Vaasa Logistics Center,East,3794.18,998.36,22567.68,892.31,81.23,77.27,LEKO Logistics,79.66,281.2,596.64,79.57
10/27/2023,Vaasa Logistics Center,East,4614.7,357.28,39832.94,316.06,85.4,88.43,Oy EL-Ho Oy,75.49,162.05,890.67,83.34
10/28/2023,ABB Vaasa Factory,North,3168.25,635.69,17125.73,685.32,85.93,85.41,LEKO Logistics,92.4,190.88,350.19,87.72
10/29/2023,Vaskiluoto Power Plant,West,4195.22,2227.0,32610.7,263.52,78.7,90.45,Wasaline,75.43,335.88,778.68,81.24
10/30/2023,Vaskiluoto Power Plant,North,3154.62,1140.51,39104.65,460.42,94.39,85.4,LEKO Logistics,92.49,184.6,836.7,91.13
10/31/2023,Vaasa Logistics Center,East,1507.52,650.81,22091.97,814.77,90.5,92.04,KWH Logistics,85.58,384.56,778.01,89.49
11/01/2023,Vaasa Logistics Center,East,1301.2,692.53,55382.93,133.8,93.79,86.04,Ahola Transport,93.78,255.33,586.56,91.46
11/02/2023,ABB Vaasa Factory,West,3233.96,747.83,19786.0,1063.79,92.9,86.22,Ahola Transport,90.98,82.23,143.35,90.32
11/03/2023,ABB Vaasa Factory,East,682.55,1462.9,13994.58,263.16,86.96,92.53,KWH Logistics,94.96,497.0,176.88,91.03
11/04/2023,Vaasa Logistics Center,North,4557.49,423.88,22492.35,508.68,93.44,83.07,Wasaline,82.01,180.69,436.2,86.9
11/05/2023,Wartsila Smart Technology Hub,South,5095.55,1035.2,23819.23,556.7,76.77,77.68,Ahola Transport,90.34,131.83,706.9,81.12
11/06/2023,Wartsila Smart Technology Hub,South,1775.41,1550.53,17572.87,412.28,78.92,75.58,KWH Logistics,83.04,252.27,678.84,79.15
11/07/2023,Vaskiluoto Power Plant,South,2941.24,2926.08,13335.65,376.15,75.9,90.1,Oy EL-Ho Oy,84.6,365.92,349.27,82.77
11/08/2023,Vaasa Logistics Center,North,3586.93,2225.32,38171.68,161.67,81.51,87.41,Ahola Transport,87.55,148.89,169.01,85.09
11/09/2023,Vaasa Logistics Center,West,1795.75,1447.73,21571.09,163.46,82.77,89.08,Oy EL-Ho Oy,92.47,143.61,870.34,87.58
11/10/2023,Wartsila Smart Technology Hub,East,2528.15,1721.16,32325.89,235.33,80.43,79.26,Oy EL-Ho Oy,94.68,482.49,285.54,84.35
11/11/2023,ABB Vaasa Factory,West,1243.33,2517.35,29902.53,754.95,91.57,77.73,Ahola Transport,90.37,269.76,293.27,87.06
11/12/2023,Vaskiluoto Power Plant,South,4749.62,309.79,32213.57,973.46,82.14,75.29,Ahola Transport,83.36,151.79,770.77,80.45
11/13/2023,Wartsila Smart Technology Hub,West,1471.41,2346.35,55389.33,720.02,80.62,82.01,KWH Logistics,83.43,78.17,829.18,81.88
11/14/2023,Kivihaka Distribution Center,West,2086.96,1280.66,13035.32,667.2,85.85,86.8,LEKO Logistics,89.75,360.56,126.81,87.31
11/15/2023,Wartsila Smart Technology Hub,East,5603.3,1227.72,6088.21,619.05,77.82,82.84,Ahola Transport,79.78,290.48,753.78,79.91
11/16/2023,ABB Vaasa Factory,South,2931.66,1339.21,9789.66,208.88,91.04,83.75,Oy EL-Ho Oy,77.21,148.31,736.6,84.71
11/17/2023,Vaasa Logistics Center,West,4639.48,556.7,34119.34,572.66,76.49,93.08,Oy EL-Ho Oy,82.09,333.33,245.85,83.15
11/18/2023,Kivihaka Distribution Center,North,1950.12,1165.5,39003.42,177.13,94.74,81.97,LEKO Logistics,80.74,84.96,165.35,86.71
11/19/2023,Vaskiluoto Power Plant,East,1910.52,2280.2,27248.78,936.82,90.44,85.28,Ahola Transport,80.93,493.62,408.99,86.04
11/20/2023,Vaasa Logistics Center,North,2497.76,763.77,23972.76,195.93,78.97,90.67,Wasaline,79.67,191.0,545.63,82.69
11/21/2023,Vaskiluoto Power Plant,South,5178.78,2153.43,34364.42,737.03,75.11,82.93,KWH Logistics,75.84,216.22,944.14,77.68
11/22/2023,Vaasa Logistics Center,South,6226.47,2219.62,34093.55,1099.08,91.31,87.44,KWH Logistics,75.36,444.88,650.55,85.36
11/23/2023,Kivihaka Distribution Center,West,2423.51,2307.82,11736.51,407.75,89.14,92.25,Wasaline,94.75,78.73,706.18,91.76
11/24/2023,ABB Vaasa Factory,South,4201.71,514.6,19374.0,172.86,89.58,93.99,Oy EL-Ho Oy,83.56,318.0,911.4,89.1
11/25/2023,Vaskiluoto Power Plant,East,2936.66,573.19,21297.81,668.06,90.43,77.94,Wasaline,82.69,116.06,979.19,84.36
11/26/2023,Vaasa Logistics Center,North,1949.97,2652.54,22712.31,402.72,76.48,93.53,KWH Logistics,88.59,358.52,440.46,85.23
11/27/2023,ABB Vaasa Factory,North,758.81,1128.87,50506.68,749.11,82.17,84.84,Ahola Transport,79.37,475.9,267.43,82.13
11/28/2023,Wartsila Smart Technology Hub,North,2137.81,943.66,6236.25,539.53,77.32,80.16,Wasaline,94.0,96.82,369.93,83.18
11/29/2023,Vaskiluoto Power Plant,West,1056.25,1401.51,7743.56,544.0,92.26,84.18,LEKO Logistics,90.73,159.15,750.87,89.38
11/30/2023,Vaskiluoto Power Plant,North,3672.94,1690.39,42005.99,291.28,87.47,94.6,LEKO Logistics,76.79,359.79,774.65,86.4
12/01/2023,Vaskiluoto Power Plant,West,2294.79,1145.9,30876.35,644.1,81.62,84.85,Ahola Transport,83.35,57.17,778.47,83.11
12/02/2023,Wartsila Smart Technology Hub,East,739.6,2093.5,10987.75,671.48,76.27,81.58,Ahola Transport,92.58,152.19,711.23,82.76
12/03/2023,Wartsila Smart Technology Hub,South,1108.86,2425.4,53754.56,288.12,81.22,87.67,Oy EL-Ho Oy,93.89,308.12,590.4,86.96
12/04/2023,ABB Vaasa Factory,South,3747.6,1185.78,10108.21,106.38,81.5,79.8,Wasaline,84.35,54.38,606.18,81.85
12/05/2023,Kivihaka Distribution Center,South,709.25,486.85,11797.79,920.48,89.59,76.52,Oy EL-Ho Oy,87.27,394.17,553.52,84.97
12/06/2023,Wartsila Smart Technology Hub,West,4095.64,1400.6,42801.11,176.79,87.75,77.58,LEKO Logistics,78.34,295.68,175.06,81.88
12/07/2023,Kivihaka Distribution Center,South,1438.45,406.98,37064.29,361.82,92.74,77.56,Oy EL-Ho Oy,94.82,124.32,477.5,88.81
12/08/2023,ABB Vaasa Factory,West,3519.88,2976.73,49662.77,562.24,84.44,78.04,Ahola Transport,79.63,140.66,573.76,81.08
12/09/2023,ABB Vaasa Factory,South,1102.03,1791.37,20198.87,866.79,77.39,77.78,Wasaline,93.85,139.97,734.49,82.45
12/10/2023,ABB Vaasa Factory,North,3609.72,2951.55,21253.81,883.25,89.26,87.82,Wasaline,87.99,190.47,577.96,88.45
12/11/2023,Wartsila Smart Technology Hub,South,3509.37,742.61,33631.28,232.13,90.22,78.64,Ahola Transport,87.15,89.56,917.36,85.82
12/12/2023,Vaasa Logistics Center,North,4339.44,614.23,19202.89,167.89,86.23,81.91,Ahola Transport,85.25,347.08,142.96,84.64
12/13/2023,Vaasa Logistics Center,South,5069.23,874.58,21860.73,499.75,90.42,92.94,Wasaline,79.61,315.75,396.41,87.93
12/14/2023,ABB Vaasa Factory,North,2867.22,987.34,38681.35,1104.93,84.88,84.48,KWH Logistics,78.53,397.27,312.18,82.85
12/15/2023,Vaskiluoto Power Plant,North,590.45,2351.54,44131.7,613.73,85.45,88.35,KWH Logistics,79.41,276.8,143.43,84.51
12/16/2023,Kivihaka Distribution Center,West,672.68,1349.63,26693.9,848.32,83.55,78.45,LEKO Logistics,78.73,275.47,161.16,80.57
12/17/2023,Vaasa Logistics Center,North,1363.69,1180.51,22810.84,249.82,75.51,78.85,Oy EL-Ho Oy,90.59,243.56,639.23,81.03
12/18/2023,Vaskiluoto Power Plant,West,4185.12,2149.49,43876.22,1242.61,77.16,75.82,Ahola Transport,82.0,348.9,602.79,78.21
12/19/2023,Kivihaka Distribution Center,West,1765.09,2196.34,12003.43,883.43,75.63,78.38,KWH Logistics,76.16,234.96,524.69,76.61
12/20/2023,Vaskiluoto Power Plant,East,4457.79,2295.16,43095.68,251.78,87.73,80.57,LEKO Logistics,94.38,279.34,635.82,87.58
12/21/2023,Vaskiluoto Power Plant,North,1980.62,2099.58,24278.57,512.1,81.29,78.54,Oy EL-Ho Oy,92.68,464.61,554.32,83.88
12/22/2023,Vaasa Logistics Center,West,5025.06,716.21,12441.94,780.32,85.17,76.77,LEKO Logistics,93.56,133.51,467.46,85.17
12/23/2023,ABB Vaasa Factory,East,1268.53,1710.85,41033.24,505.47,93.15,77.41,Ahola Transport,94.9,250.08,802.25,88.95
12/24/2023,Kivihaka Distribution Center,North,2029.08,2171.53,22731.87,1075.73,79.99,84.22,LEKO Logistics,78.48,147.64,996.93,80.8
12/25/2023,ABB Vaasa Factory,West,495.44,622.93,16408.04,894.41,83.21,79.13,LEKO Logistics,82.92,292.81,739.49,81.9
12/26/2023,Wartsila Smart Technology Hub,South,4037.32,2988.27,40404.57,160.87,90.11,82.29,Ahola Transport,90.16,116.42,815.1,87.78
12/27/2023,ABB Vaasa Factory,West,2450.24,1941.85,35576.02,804.7,79.58,85.07,KWH Logistics,88.92,250.85,983.19,84.03
12/28/2023,ABB Vaasa Factory,North,3810.73,2387.16,27652.27,1058.06,76.54,88.81,LEKO Logistics,78.08,111.58,694.76,80.68
12/29/2023,ABB Vaasa Factory,North,1446.95,988.95,8853.88,1210.07,80.8,75.79,Ahola Transport,91.32,315.97,123.12,82.45
12/30/2023,Wartsila Smart Technology Hub,South,2758.04,1787.53,7254.49,224.77,78.22,90.99,LEKO Logistics,79.49,487.68,862.64,82.43
12/31/2023,ABB Vaasa Factory,West,2238.85,1973.46,29466.59,236.61,93.59,87.56,KWH Logistics,79.48,112.65,141.46,87.55
01/01/2024,Kivihaka Distribution Center,North,4847.69,1462.23,15777.69,676.04,91.16,76.64,Wasaline,85.74,272.91,561.33,85.18
01/02/2024,Kivihaka Distribution Center,North,4975.22,611.41,44089.22,845.41,87.67,92.47,KWH Logistics,86.86,322.64,723.62,88.87
01/03/2024,Wartsila Smart Technology Hub,North,5699.7,1496.85,28084.71,153.09,92.43,93.42,Ahola Transport,86.6,243.0,923.67,90.98
01/04/2024,Wartsila Smart Technology Hub,South,2495.13,569.17,26833.59,361.03,91.07,76.22,Wasaline,76.83,284.17,798.8,82.34
01/05/2024,ABB Vaasa Factory,North,5050.32,555.42,36228.91,162.71,78.73,80.54,Wasaline,92.55,259.22,166.28,83.42
01/06/2024,Wartsila Smart Technology Hub,South,1612.59,889.74,26185.39,612.52,92.85,91.12,KWH Logistics,80.31,61.66,646.89,88.57
01/07/2024,ABB Vaasa Factory,North,4888.05,1468.78,23775.81,383.45,85.79,89.97,Oy EL-Ho Oy,77.59,256.75,512.14,84.58
01/08/2024,Wartsila Smart Technology Hub,East,912.87,411.04,23279.28,773.71,91.15,78.69,Ahola Transport,92.77,356.54,141.68,87.9
01/09/2024,Vaskiluoto Power Plant,West,1616.05,1090.38,15983.95,798.82,92.92,79.19,Ahola Transport,94.11,94.4,921.88,89.16
01/10/2024,Vaasa Logistics Center,West,5542.65,2248.51,34579.43,615.76,81.36,82.41,Oy EL-Ho Oy,92.24,408.02,160.82,84.94
01/11/2024,Vaskiluoto Power Plant,North,2888.83,2999.64,26761.98,460.2,77.2,84.69,KWH Logistics,91.19,494.03,474.47,83.64
01/12/2024,Kivihaka Distribution Center,East,4223.03,659.62,34362.12,587.81,79.56,87.37,Wasaline,88.1,193.25,748.01,84.46
01/13/2024,Wartsila Smart Technology Hub,South,3217.72,2728.57,12123.59,360.54,83.54,82.38,LEKO Logistics,86.02,439.93,468.65,83.94
01/14/2024,Kivihaka Distribution Center,South,2502.25,1508.53,7974.71,322.31,91.36,84.25,KWH Logistics,76.74,449.28,863.34,84.84
01/15/2024,Kivihaka Distribution Center,West,2836.93,2752.17,45337.65,1060.04,92.21,89.95,Wasaline,83.17,315.29,953.45,88.82
01/16/2024,Wartsila Smart Technology Hub,North,1738.17,1778.52,25706.71,466.49,75.14,75.73,Ahola Transport,82.45,426.42,911.66,77.51
01/17/2024,Kivihaka Distribution Center,West,1227.97,1488.65,22666.87,386.62,85.21,80.05,Wasaline,80.2,403.04,107.47,82.16
01/18/2024,Wartsila Smart Technology Hub,West,5220.61,2452.1,21413.45,226.12,83.35,89.27,Oy EL-Ho Oy,89.47,75.91,717.78,86.96
01/19/2024,Vaskiluoto Power Plant,East,3315.48,465.75,35421.24,852.32,79.44,92.9,KWH Logistics,84.92,336.24,601.68,85.12
01/20/2024,Vaasa Logistics Center,North,4040.54,531.11,44175.51,250.78,77.4,85.23,LEKO Logistics,76.62,144.23,876.4,79.52
01/21/2024,Vaasa Logistics Center,East,2188.97,436.76,14992.15,780.89,81.75,85.64,Wasaline,79.4,424.92,688.04,82.21
01/22/2024,Kivihaka Distribution Center,South,6229.98,1769.15,8302.03,858.28,93.86,77.14,Oy EL-Ho Oy,88.67,86.92,775.97,87.29
01/23/2024,Vaskiluoto Power Plant,West,2254.74,580.4,11725.2,827.98,81.46,83.95,KWH Logistics,76.52,131.3,595.38,80.73
01/24/2024,Wartsila Smart Technology Hub,East,4852.46,1211.28,6920.23,490.27,85.38,85.65,Oy EL-Ho Oy,92.02,284.83,595.26,87.45
01/25/2024,ABB Vaasa Factory,East,718.32,755.56,5252.69,301.74,89.06,79.85,Oy EL-Ho Oy,84.9,89.24,252.44,85.05
01/26/2024,Vaskiluoto Power Plant,East,4424.64,1805.14,46707.67,254.46,82.27,80.38,Ahola Transport,84.61,64.04,206.64,82.41
01/27/2024,Wartsila Smart Technology Hub,South,2423.19,612.45,38391.7,664.85,94.44,82.55,Oy EL-Ho Oy,86.85,425.95,758.69,88.59
01/28/2024,Vaskiluoto Power Plant,West,2067.24,1046.79,48912.26,1088.6,94.25,75.4,LEKO Logistics,91.49,60.61,836.0,87.77
01/29/2024,Vaasa Logistics Center,South,5373.22,1785.92,37834.76,881.99,80.04,81.44,Oy EL-Ho Oy,81.96,175.63,177.82,81.03
01/30/2024,Kivihaka Distribution Center,East,1818.91,2039.28,12371.75,865.52,84.94,79.23,LEKO Logistics,88.56,95.61,221.49,84.31
01/31/2024,Vaasa Logistics Center,North,5516.85,765.5,42435.55,861.2,81.02,81.55,KWH Logistics,86.31,68.19,264.84,82.77
02/01/2024,Wartsila Smart Technology Hub,East,4156.7,1573.32,26233.24,306.3,80.7,77.4,Wasaline,80.34,203.06,715.1,79.6
02/02/2024,Kivihaka Distribution Center,North,3959.31,2814.45,36243.41,335.43,75.74,92.81,Ahola Transport,92.57,169.44,134.2,85.91
02/03/2024,Kivihaka Distribution Center,South,2545.41,1124.62,5028.27,781.26,87.19,86.87,Oy EL-Ho Oy,90.95,229.0,255.14,88.22
02/04/2024,Wartsila Smart Technology Hub,East,4246.04,1507.82,29901.15,834.09,85.05,88.58,Ahola Transport,88.17,58.95,705.07,87.05
02/05/2024,ABB Vaasa Factory,West,4000.43,3044.06,45225.74,314.84,76.03,90.78,LEKO Logistics,92.01,150.52,366.87,85.25
02/06/2024,Kivihaka Distribution Center,South,992.64,346.05,35626.78,343.22,80.57,84.97,KWH Logistics,92.35,379.58,248.11,85.42
02/07/2024,Vaasa Logistics Center,West,1905.07,1592.97,23488.32,680.84,93.17,76.74,Ahola Transport,89.17,223.09,499.31,87.04
02/08/2024,Wartsila Smart Technology Hub,North,579.68,1333.74,23442.8,767.8,79.79,85.74,Oy EL-Ho Oy,91.74,332.88,409.86,85.16
02/09/2024,Kivihaka Distribution Center,South,611.21,1058.66,41399.06,593.95,77.9,86.74,Oy EL-Ho Oy,88.95,123.95,585.99,83.87
02/10/2024,Wartsila Smart Technology Hub,North,3840.67,350.01,25170.35,821.7,84.79,89.91,KWH Logistics,88.6,241.14,946.75,87.47
02/11/2024,Kivihaka Distribution Center,East,1830.78,422.2,15261.68,186.36,94.71,83.63,Wasaline,87.37,77.07,880.83,89.19
02/12/2024,Vaskiluoto Power Plant,North,2231.64,2857.65,39321.3,265.88,79.84,77.55,Oy EL-Ho Oy,90.05,464.53,111.39,82.22
02/13/2024,Vaskiluoto Power Plant,West,4722.4,2498.77,9496.31,879.85,88.44,80.68,KWH Logistics,78.17,380.18,868.58,83.03
02/14/2024,Vaasa Logistics Center,West,3692.09,566.4,41717.9,830.33,90.23,82.26,Oy EL-Ho Oy,92.62,385.11,361.56,88.56
02/15/2024,Vaasa Logistics Center,South,3177.9,917.84,40312.82,630.52,79.75,87.92,Oy EL-Ho Oy,92.44,267.87,154.22,86.01
02/16/2024,Vaskiluoto Power Plant,West,1005.74,1231.97,20340.69,1015.25,89.56,86.42,Ahola Transport,75.58,463.01,927.4,84.43
02/17/2024,Kivihaka Distribution Center,East,2189.65,1108.58,21055.38,504.98,82.36,82.12,LEKO Logistics,91.52,324.82,628.82,85.03
02/18/2024,ABB Vaasa Factory,East,1307.16,1039.19,31812.63,300.44,87.65,94.73,Ahola Transport,77.58,301.87,463.35,86.75
02/19/2024,ABB Vaasa Factory,East,1476.63,1667.11,48236.51,364.0,87.67,87.12,KWH Logistics,81.7,149.48,485.56,85.71
02/20/2024,Wartsila Smart Technology Hub,South,5035.07,1894.76,11362.38,272.78,85.72,79.74,Wasaline,89.87,60.56,901.08,85.17
02/21/2024,Vaskiluoto Power Plant,North,1249.79,1750.17,51825.22,646.19,76.81,77.04,Ahola Transport,78.22,470.93,302.66,77.3
02/22/2024,Vaskiluoto Power Plant,South,4096.7,2623.68,11234.47,416.94,91.71,78.06,Oy EL-Ho Oy,91.36,436.43,333.27,87.51
02/23/2024,Vaasa Logistics Center,North,3210.31,628.36,30166.38,842.2,81.42,79.92,Ahola Transport,91.64,497.73,933.55,84.03
02/24/2024,Vaasa Logistics Center,East,3390.72,1815.19,7247.44,699.22,78.73,78.21,KWH Logistics,85.15,61.47,158.8,80.5
02/25/2024,ABB Vaasa Factory,North,1374.01,2045.87,15299.05,183.84,75.82,78.73,KWH Logistics,75.13,135.82,848.96,76.48
02/26/2024,Vaskiluoto Power Plant,West,2327.45,858.24,35052.17,1188.85,86.82,80.7,KWH Logistics,80.74,164.73,785.93,83.16
02/27/2024,Wartsila Smart Technology Hub,South,813.68,2455.77,44356.34,1011.08,88.55,78.47,LEKO Logistics,87.34,458.45,950.17,85.16
02/28/2024,Vaasa Logistics Center,East,1779.15,498.9,45516.04,415.63,75.33,92.94,LEKO Logistics,94.62,111.8,215.24,86.4
02/29/2024,Vaskiluoto Power Plant,North,1488.44,471.22,40146.61,482.52,85.24,76.6,Oy EL-Ho Oy,87.64,195.97,295.35,83.37
03/01/2024,Kivihaka Distribution Center,East,2348.01,1820.33,32044.39,1159.02,79.53,85.49,Ahola Transport,80.2,373.36,238.67,81.52
03/02/2024,Vaskiluoto Power Plant,North,3503.29,909.2,30769.52,326.34,87.9,83.21,Wasaline,87.68,94.39,690.53,86.43
03/03/2024,Vaskiluoto Power Plant,South,3491.66,1114.88,42976.64,385.85,78.49,94.65,LEKO Logistics,85.8,452.12,572.45,85.53
03/04/2024,Wartsila Smart Technology Hub,West,3813.8,1609.0,13170.51,715.05,88.82,77.24,KWH Logistics,90.6,383.28,568.35,85.88
03/05/2024,Vaskiluoto Power Plant,North,3232.84,884.07,15060.6,859.96,82.73,82.96,Wasaline,77.14,446.69,592.27,81.12
03/06/2024,Wartsila Smart Technology Hub,North,4194.64,2384.23,26559.0,931.83,93.73,94.39,Ahola Transport,90.22,142.69,161.86,92.88
03/07/2024,Vaasa Logistics Center,North,2266.82,428.96,29593.74,516.21,77.75,92.31,Ahola Transport,85.83,76.26,494.44,84.54
03/08/2024,Kivihaka Distribution Center,East,2689.58,489.86,4992.07,935.11,81.82,91.34,Ahola Transport,94.26,341.7,347.51,88.41
03/09/2024,Kivihaka Distribution Center,South,3668.02,3144.77,52385.75,135.0,77.27,80.16,Ahola Transport,81.84,244.21,938.82,79.51
03/10/2024,Wartsila Smart Technology Hub,West,2469.45,652.04,44503.92,697.6,93.49,78.42,Ahola Transport,87.65,222.45,674.66,87.22
03/11/2024,Vaskiluoto Power Plant,North,4682.29,2081.01,34824.15,233.89,92.55,88.37,LEKO Logistics,93.64,366.63,291.08,91.62
03/12/2024,Vaskiluoto Power Plant,North,2114.26,1918.01,11760.6,418.49,80.16,93.59,Oy EL-Ho Oy,77.05,263.71,998.01,83.25
