Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh
10/17/2023,Wartsila Smart Technology Hub,North,5473.63,3969.11,93201.65,2091.78,47.65,30.71,Oy EL-Ho Oy,35.57,159.13,761.79
10/18/2023,Kivihaka Distribution Center,West,2024.87,5494.04,77551.59,679.81,38.11,28.7,KWH Logistics,2.82,183.04,697.26
10/19/2023,Kivihaka Distribution Center,East,5743.56,1256.56,32330.74,1122.76,30.41,39.0,KWH Logistics,18.4,485.58,674.11
10/20/2023,Vaskiluoto Power Plant,North,5647.22,983.77,82741.63,988.11,26.67,41.15,Oy EL-Ho Oy,13.54,155.54,804.35
10/21/2023,Wartsila Smart Technology Hub,East,2067.45,591.74,20658.43,1193.22,44.97,32.2,Oy EL-Ho Oy,11.07,449.95,968.73
10/22/2023,Vaasa Logistics Center,North,7999.14,3917.48,71173.8,382.2,6.69,49.96,Oy EL-Ho Oy,26.06,339.97,697.96
10/23/2023,Kivihaka Distribution Center,East,3955.98,4933.51,72786.19,1407.75,37.15,47.51,Oy EL-Ho Oy,21.09,71.64,648.38
10/24/2023,Kivihaka Distribution Center,West,9789.47,5393.04,94382.33,513.66,43.15,31.05,LEKO Logistics,2.35,324.98,929.62
10/25/2023,Kivihaka Distribution Center,South,1641.32,4277.05,28785.59,1035.27,34.63,38.08,KWH Logistics,32.99,365.14,323.06
10/26/2023,Vaasa Logistics Center,East,6760.85,1778.97,40213.37,1590.01,35.83,44.43,LEKO Logistics,39.8,281.2,596.64
10/27/2023,Vaasa Logistics Center,East,9047.63,700.49,78096.86,619.67,32.77,30.07,Oy EL-Ho Oy,36.08,162.05,890.67
10/28/2023,ABB Vaasa Factory,North,7752.34,1555.46,41904.72,1676.9,37.62,7.48,LEKO Logistics,18.99,190.88,350.19
10/29/2023,Vaskiluoto Power Plant,West,7966.16,4228.77,61923.33,500.38,46.25,31.75,Wasaline,22.05,335.88,778.68
10/30/2023,Vaskiluoto Power Plant,North,5344.27,1932.15,66247.55,780.01,46.78,24.82,LEKO Logistics,14.76,184.6,836.7
10/31/2023,Vaasa Logistics Center,East,2897.28,1250.79,42458.24,1565.89,22.43,49.77,KWH Logistics,39.16,384.56,778.01
11/01/2023,Vaasa Logistics Center,East,2307.76,1228.24,98224.94,237.3,36.03,29.51,Ahola Transport,19.75,255.33,586.56
11/02/2023,ABB Vaasa Factory,West,5606.33,1296.43,34300.59,1844.16,47.4,26.38,Ahola Transport,1.77,82.23,143.35
11/03/2023,ABB Vaasa Factory,East,1531.7,3282.87,31405.03,590.55,48.68,19.67,KWH Logistics,32.54,497.0,176.88
11/04/2023,Vaasa Logistics Center,North,10301.54,958.11,50840.62,1149.79,22.52,41.18,Wasaline,10.12,180.69,436.2
11/05/2023,Wartsila Smart Technology Hub,South,9757.93,1982.4,45613.56,1066.07,6.79,31.26,Ahola Transport,27.3,131.83,706.9
11/06/2023,Wartsila Smart Technology Hub,South,3681.85,3215.5,36442.69,854.98,4.17,27.77,KWH Logistics,39.84,252.27,678.84
11/07/2023,Vaskiluoto Power Plant,South,5178.49,5151.8,23479.4,662.27,37.78,28.29,Oy EL-Ho Oy,19.31,365.92,349.27
11/08/2023,Vaasa Logistics Center,North,6184.32,3836.72,65812.71,278.74,48.92,11.29,Ahola Transport,14.97,148.89,169.01
11/09/2023,Vaasa Logistics Center,West,3815.18,3075.8,45829.22,347.28,27.17,3.36,Oy EL-Ho Oy,10.99,143.61,870.34
11/10/2023,Wartsila Smart Technology Hub,East,5651.09,3847.26,72256.96,526.02,14.27,0.45,Oy EL-Ho Oy,29.81,482.49,285.54
11/11/2023,ABB Vaasa Factory,West,2235.78,4526.75,53771.37,1357.56,1.1,27.06,Ahola Transport,27.82,269.76,293.27
11/12/2023,Vaskiluoto Power Plant,South,10439.62,680.92,70805.1,2139.65,24.42,20.72,Ahola Transport,0.93,151.79,770.77
11/13/2023,Wartsila Smart Technology Hub,West,2606.46,4156.34,98117.08,1275.44,41.21,19.55,KWH Logistics,21.34,78.17,829.18
11/14/2023,Kivihaka Distribution Center,West,4305.26,2641.92,26890.93,1376.38,16.01,7.31,LEKO Logistics,29.36,360.56,126.81
11/15/2023,Wartsila Smart Technology Hub,East,10502.71,2301.22,11411.62,1160.33,19.58,36.14,Ahola Transport,18.69,290.48,753.78
11/16/2023,ABB Vaasa Factory,South,6995.02,3195.38,23358.38,498.4,29.52,4.41,Oy EL-Ho Oy,32.6,148.31,736.6
11/17/2023,Vaasa Logistics Center,West,8840.94,1060.84,65017.47,1091.26,24.32,16.42,Oy EL-Ho Oy,29.51,333.33,245.85
11/18/2023,Kivihaka Distribution Center,North,3976.96,2376.86,79541.42,361.23,33.51,29.2,LEKO Logistics,11.72,84.96,165.35
11/19/2023,Vaskiluoto Power Plant,East,3693.09,4407.71,52672.8,1810.9,17.92,3.08,Ahola Transport,15.67,493.62,408.99
11/20/2023,Vaasa Logistics Center,North,5760.47,1761.45,55287.36,451.86,13.22,8.71,Wasaline,4.61,191.0,545.63
11/21/2023,Vaskiluoto Power Plant,South,9461.13,3934.1,62780.43,1346.48,45.71,20.25,KWH Logistics,1.44,216.22,944.14
11/22/2023,Vaasa Logistics Center,South,10874.8,3876.67,59545.88,1919.59,36.68,9.89,KWH Logistics,10.15,444.88,650.55
11/23/2023,Kivihaka Distribution Center,West,5466.39,5205.43,26472.46,919.71,21.07,29.31,Wasaline,38.2,78.73,706.18
11/24/2023,ABB Vaasa Factory,South,10024.53,1227.75,46222.9,412.41,49.85,41.94,Oy EL-Ho Oy,1.38,318.0,911.4
11/25/2023,Vaskiluoto Power Plant,East,7255.89,1416.23,52622.57,1650.65,14.89,29.17,Wasaline,37.49,116.06,979.19
11/26/2023,Vaasa Logistics Center,North,3690.37,5020.0,42983.64,762.16,43.07,43.35,KWH Logistics,38.79,358.52,440.46
11/27/2023,ABB Vaasa Factory,North,1455.27,2164.99,96863.94,1436.67,39.48,10.4,Ahola Transport,26.59,475.9,267.43
11/28/2023,Wartsila Smart Technology Hub,North,4197.23,1852.71,12243.79,1059.28,12.21,28.32,Wasaline,30.09,96.82,369.93
11/29/2023,Vaskiluoto Power Plant,West,2366.21,3139.65,17347.09,1218.67,34.94,4.16,LEKO Logistics,1.61,159.15,750.87
11/30/2023,Vaskiluoto Power Plant,North,7681.07,3535.05,87845.33,609.14,26.63,2.61,LEKO Logistics,8.78,359.79,774.65
12/01/2023,Vaskiluoto Power Plant,West,4422.45,2208.34,59504.02,1241.29,38.07,13.57,Ahola Transport,22.9,57.17,778.47
12/02/2023,Wartsila Smart Technology Hub,East,1481.11,4192.42,22003.96,1344.69,40.06,28.99,Ahola Transport,25.22,152.19,711.23
12/03/2023,Wartsila Smart Technology Hub,South,1855.66,4058.86,89957.19,482.16,18.06,37.76,Oy EL-Ho Oy,5.88,308.12,590.4
12/04/2023,ABB Vaasa Factory,South,8770.66,2775.14,23656.66,248.97,40.86,36.92,Wasaline,19.53,54.38,606.18
12/05/2023,Kivihaka Distribution Center,South,1315.79,903.19,21887.11,1707.67,32.06,14.14,Oy EL-Ho Oy,12.5,394.17,553.52
12/06/2023,Wartsila Smart Technology Hub,West,8517.25,2912.68,89008.81,367.66,33.32,4.52,LEKO Logistics,0.11,295.68,175.06
12/07/2023,Kivihaka Distribution Center,South,2961.97,838.03,76320.52,745.04,23.3,4.85,Oy EL-Ho Oy,6.95,124.32,477.5
12/08/2023,ABB Vaasa Factory,West,6476.08,5476.76,91372.56,1034.45,48.35,1.24,Ahola Transport,39.88,140.66,573.76
12/09/2023,ABB Vaasa Factory,South,2046.53,3326.67,37510.39,1609.68,37.64,32.88,Wasaline,2.43,139.97,734.49
12/10/2023,ABB Vaasa Factory,North,6033.78,4933.63,35526.57,1476.38,49.44,8.55,Wasaline,0.76,190.47,577.96
12/11/2023,Wartsila Smart Technology Hub,South,8244.18,1744.54,79006.22,545.31,5.35,38.8,Ahola Transport,13.93,89.56,917.36
12/12/2023,Vaasa Logistics Center,North,10311.82,1459.59,45631.87,398.95,18.4,4.45,Ahola Transport,7.61,347.08,142.96
12/13/2023,Vaasa Logistics Center,South,9303.59,1605.12,40121.17,917.19,16.94,44.29,Wasaline,29.42,315.75,396.41
12/14/2023,ABB Vaasa Factory,North,5560.11,1914.65,75010.75,2142.68,0.08,25.99,KWH Logistics,2.49,397.27,312.18
12/15/2023,Vaskiluoto Power Plant,North,1298.18,5170.12,97028.55,1349.36,9.11,32.86,KWH Logistics,16.34,276.8,143.43
12/16/2023,Kivihaka Distribution Center,West,1617.48,3245.21,64185.94,2039.79,46.94,14.28,LEKO Logistics,7.86,275.47,161.16
12/17/2023,Vaasa Logistics Center,North,3269.21,2830.06,54684.98,598.89,15.8,27.63,Oy EL-Ho Oy,25.82,243.56,639.23
12/18/2023,Vaskiluoto Power Plant,West,7230.2,3713.46,75800.5,2146.73,18.81,18.92,Ahola Transport,4.65,348.9,602.79
12/19/2023,Kivihaka Distribution Center,West,4026.45,5010.21,27381.74,2015.25,7.86,2.01,KWH Logistics,28.66,234.96,524.69
12/20/2023,Vaskiluoto Power Plant,East,9593.37,4939.29,92743.83,541.84,46.46,6.22,LEKO Logistics,16.38,279.34,635.82
12/21/2023,Vaskiluoto Power Plant,North,4447.52,4714.65,54518.0,1149.93,48.7,13.62,Oy EL-Ho Oy,32.19,464.61,554.32
12/22/2023,Vaasa Logistics Center,West,10668.93,1520.61,26416.05,1656.74,4.87,15.84,LEKO Logistics,26.63,133.51,467.46
12/23/2023,ABB Vaasa Factory,East,3064.94,4133.63,99141.7,1221.28,9.13,3.71,Ahola Transport,14.64,250.08,802.25
12/24/2023,Kivihaka Distribution Center,North,4027.46,4310.2,45119.76,2135.18,22.64,39.73,LEKO Logistics,38.12,147.64,996.93
12/25/2023,ABB Vaasa Factory,West,1198.1,1506.41,39678.7,2162.9,13.36,34.3,LEKO Logistics,9.43,292.81,739.49
12/26/2023,Wartsila Smart Technology Hub,South,7208.59,5335.52,72141.83,287.24,30.56,7.46,Ahola Transport,1.22,116.42,815.1
12/27/2023,ABB Vaasa Factory,West,5484.69,4346.68,79634.29,1801.26,33.17,49.19,KWH Logistics,18.82,250.85,983.19
12/28/2023,ABB Vaasa Factory,North,7501.4,4699.11,54433.34,2082.78,45.22,4.3,LEKO Logistics,19.28,111.58,694.76
12/29/2023,ABB Vaasa Factory,North,2511.99,1716.88,15370.9,2100.76,34.78,44.3,Ahola Transport,0.33,315.97,123.12
12/30/2023,Wartsila Smart Technology Hub,South,5202.13,3371.58,13683.19,423.96,36.07,18.71,LEKO Logistics,14.69,487.68,862.64
12/31/2023,ABB Vaasa Factory,West,4419.43,3895.56,58166.37,467.06,21.65,11.0,KWH Logistics,38.27,112.65,141.46
01/01/2024,Kivihaka Distribution Center,North,10428.12,3145.48,33940.24,1454.26,37.87,29.41,Wasaline,10.18,272.91,561.33
01/02/2024,Kivihaka Distribution Center,North,10662.71,1310.34,94490.33,1811.86,42.66,18.78,KWH Logistics,19.3,322.64,723.62
01/03/2024,Wartsila Smart Technology Hub,North,10675.64,2803.62,52603.2,286.74,20.34,1.96,Ahola Transport,21.68,243.0,923.67
01/04/2024,Wartsila Smart Technology Hub,South,4166.69,950.48,44810.19,602.9,11.73,27.4,Wasaline,29.35,284.17,798.8
01/05/2024,ABB Vaasa Factory,North,9486.53,1043.31,68052.4,305.63,31.96,10.11,Wasaline,38.86,259.22,166.28
01/06/2024,Wartsila Smart Technology Hub,South,3152.32,1739.27,51187.67,1197.36,7.16,13.49,KWH Logistics,17.87,61.66,646.89
01/07/2024,ABB Vaasa Factory,North,8950.34,2689.44,43535.06,702.12,29.77,15.53,Oy EL-Ho Oy,0.7,256.75,512.14
01/08/2024,Wartsila Smart Technology Hub,East,1851.51,833.69,47215.69,1569.27,33.03,49.87,Ahola Transport,6.81,356.54,141.68
01/09/2024,Vaskiluoto Power Plant,West,3922.18,2646.37,38793.32,1938.75,1.94,10.1,Ahola Transport,31.59,94.4,921.88
01/10/2024,Vaasa Logistics Center,West,10815.79,4387.68,67477.4,1201.58,46.66,19.81,Oy EL-Ho Oy,34.39,408.02,160.82
01/11/2024,Vaskiluoto Power Plant,North,4883.7,5071.02,45242.34,777.99,41.85,28.13,KWH Logistics,36.19,494.03,474.47
01/12/2024,Kivihaka Distribution Center,East,9706.77,1516.16,78982.38,1351.1,44.21,16.44,Wasaline,17.12,193.25,748.01
01/13/2024,Wartsila Smart Technology Hub,South,5980.89,5071.68,22534.52,670.14,45.59,43.36,LEKO Logistics,31.06,439.93,468.65
01/14/2024,Kivihaka Distribution Center,South,5684.52,3427.03,18116.66,732.21,18.95,6.19,KWH Logistics,18.84,449.28,863.34
01/15/2024,Kivihaka Distribution Center,West,5593.7,5426.57,89394.19,2090.12,48.95,27.27,Wasaline,28.37,315.29,953.45
01/16/2024,Wartsila Smart Technology Hub,North,4145.07,4241.28,61303.48,1112.45,9.27,42.24,Ahola Transport,23.96,426.42,911.66
01/17/2024,Kivihaka Distribution Center,West,2505.68,3037.6,46251.92,788.91,17.72,35.23,Wasaline,20.62,403.04,107.47
01/18/2024,Wartsila Smart Technology Hub,West,9470.8,4448.4,38846.49,410.21,38.98,29.42,Oy EL-Ho Oy,0.03,75.91,717.78
01/19/2024,Vaskiluoto Power Plant,East,7061.51,991.98,75442.31,1815.33,34.48,12.76,KWH Logistics,12.91,336.24,601.68
01/20/2024,Vaasa Logistics Center,North,7581.01,996.48,82883.62,470.53,49.25,29.21,LEKO Logistics,24.41,144.23,876.4
01/21/2024,Vaasa Logistics Center,East,3915.24,781.19,26815.27,1396.72,30.24,1.3,Wasaline,36.8,424.92,688.04
01/22/2024,Kivihaka Distribution Center,South,10641.62,3021.93,14180.95,1466.05,0.46,22.15,Oy EL-Ho Oy,9.54,86.92,775.97
01/23/2024,Vaskiluoto Power Plant,West,5044.97,1298.65,26235.08,1852.59,32.56,25.63,KWH Logistics,8.28,131.3,595.38
01/24/2024,Wartsila Smart Technology Hub,East,10112.18,2524.22,14421.26,1021.68,37.73,13.91,Oy EL-Ho Oy,18.87,284.83,595.26
01/25/2024,ABB Vaasa Factory,East,1668.64,1755.14,12201.85,700.93,6.0,41.8,Oy EL-Ho Oy,18.87,89.24,252.44
01/26/2024,Vaskiluoto Power Plant,East,7392.93,3016.13,78041.65,425.17,2.46,10.12,Ahola Transport,37.04,64.04,206.64
01/27/2024,Wartsila Smart Technology Hub,South,4139.37,1046.2,65581.98,1135.72,30.29,46.32,Oy EL-Ho Oy,39.77,425.95,758.69
01/28/2024,Vaskiluoto Power Plant,West,4069.44,2060.65,96285.6,2142.94,39.52,30.59,LEKO Logistics,17.42,60.61,836.0
01/29/2024,Vaasa Logistics Center,South,9453.13,3141.98,66562.84,1551.69,25.51,3.5,Oy EL-Ho Oy,33.81,175.63,177.82
01/30/2024,Kivihaka Distribution Center,East,3607.57,4044.65,24537.79,1716.64,10.7,23.83,LEKO Logistics,33.95,95.61,221.49
01/31/2024,Vaasa Logistics Center,North,10513.96,1458.89,80873.2,1641.26,36.32,17.73,KWH Logistics,27.37,68.19,264.84
02/01/2024,Wartsila Smart Technology Hub,East,9948.43,3765.49,62785.26,733.08,48.27,19.33,Wasaline,28.07,203.06,715.1
02/02/2024,Kivihaka Distribution Center,North,7184.98,5107.39,65771.05,608.71,41.13,14.53,Ahola Transport,38.17,169.44,134.2
02/03/2024,Kivihaka Distribution Center,South,5981.57,2642.8,11816.14,1835.91,43.36,26.81,Oy EL-Ho Oy,30.29,229.0,255.14
02/04/2024,Wartsila Smart Technology Hub,East,7512.27,2667.7,52902.39,1475.71,25.93,44.93,Ahola Transport,39.8,58.95,705.07
02/05/2024,ABB Vaasa Factory,West,7189.77,5470.94,81281.97,565.84,39.96,36.36,LEKO Logistics,37.55,150.52,366.87
02/06/2024,Kivihaka Distribution Center,South,1832.29,638.77,65762.52,633.54,41.77,10.94,KWH Logistics,12.9,379.58,248.11
02/07/2024,Vaasa Logistics Center,West,4678.09,3911.69,57677.97,1671.87,2.91,48.73,Ahola Transport,26.77,223.09,499.31
02/08/2024,Wartsila Smart Technology Hub,North,1258.46,2895.49,50893.39,1666.87,23.53,19.57,Oy EL-Ho Oy,33.38,332.88,409.86
02/09/2024,Kivihaka Distribution Center,South,1350.37,2338.95,91464.87,1312.25,36.04,25.67,Oy EL-Ho Oy,4.32,123.95,585.99
02/10/2024,Wartsila Smart Technology Hub,North,8136.55,741.51,53323.94,1740.78,17.45,21.06,KWH Logistics,2.38,241.14,946.75
02/11/2024,Kivihaka Distribution Center,East,4384.8,1011.19,36552.43,446.34,17.23,22.04,Wasaline,3.45,77.07,880.83
02/12/2024,Vaskiluoto Power Plant,North,3799.24,4864.99,66942.22,452.65,12.58,44.63,Oy EL-Ho Oy,17.7,464.53,111.39
02/13/2024,Vaskiluoto Power Plant,West,9245.82,4892.26,18592.49,1722.62,26.15,10.77,KWH Logistics,25.91,380.18,868.58
02/14/2024,Vaasa Logistics Center,West,8007.04,1228.35,90473.77,1800.73,23.93,21.69,Oy EL-Ho Oy,19.25,385.11,361.56
02/15/2024,Vaasa Logistics Center,South,6628.97,1914.57,84090.8,1315.23,35.24,30.13,Oy EL-Ho Oy,23.93,267.87,154.22
02/16/2024,Vaskiluoto Power Plant,West,2054.87,2517.09,41559.07,2074.31,31.99,37.81,Ahola Transport,30.52,463.01,927.4
02/17/2024,Kivihaka Distribution Center,East,4209.9,2131.4,40481.87,970.9,0.84,22.76,LEKO Logistics,1.7,324.82,628.82
02/18/2024,ABB Vaasa Factory,East,2598.03,2065.42,63228.71,597.14,6.54,24.24,Ahola Transport,4.15,301.87,463.35
02/19/2024,ABB Vaasa Factory,East,2529.0,2855.23,82613.97,623.41,24.13,27.65,KWH Logistics,9.91,149.48,485.56
02/20/2024,Wartsila Smart Technology Hub,South,10082.39,3794.13,22752.39,546.22,19.19,3.35,Wasaline,23.34,60.56,901.08
02/21/2024,Vaskiluoto Power Plant,North,2088.44,2924.59,86601.75,1079.81,7.95,19.05,Ahola Transport,39.67,470.93,302.66
02/22/2024,Vaskiluoto Power Plant,South,7183.6,4600.64,19699.74,731.1,26.23,27.88,Oy EL-Ho Oy,34.23,436.43,333.27
02/23/2024,Vaasa Logistics Center,North,7268.05,1422.58,68295.76,1906.71,25.53,42.51,Ahola Transport,7.66,497.73,933.55
02/24/2024,Vaasa Logistics Center,East,5785.04,3096.97,12365.13,1192.97,2.2,21.67,KWH Logistics,3.54,61.47,158.8
02/25/2024,ABB Vaasa Factory,North,3246.15,4833.44,36144.61,434.32,18.25,38.88,KWH Logistics,7.8,135.82,848.96
02/26/2024,Vaskiluoto Power Plant,West,4130.42,1523.08,62205.5,2109.8,32.46,15.31,KWH Logistics,22.13,164.73,785.93
02/27/2024,Wartsila Smart Technology Hub,South,1708.96,5157.83,93161.18,2123.56,4.79,6.39,LEKO Logistics,27.86,458.45,950.17
02/28/2024,Vaasa Logistics Center,East,3090.97,866.75,79076.52,722.09,29.19,42.55,LEKO Logistics,22.06,111.8,215.24
02/29/2024,Vaskiluoto Power Plant,North,2594.86,821.5,69989.22,841.19,14.12,27.39,Oy EL-Ho Oy,27.48,195.97,295.35
03/01/2024,Kivihaka Distribution Center,East,4184.02,3243.73,57101.28,2065.31,16.97,2.59,Ahola Transport,0.94,373.36,238.67
03/02/2024,Vaskiluoto Power Plant,North,6278.23,1629.38,55141.9,584.84,37.17,39.74,Wasaline,10.78,94.39,690.53
03/03/2024,Vaskiluoto Power Plant,South,7575.15,2418.74,93237.8,837.11,32.65,28.31,LEKO Logistics,17.49,452.12,572.45
03/04/2024,Wartsila Smart Technology Hub,West,9163.74,3866.08,31645.9,1718.11,12.44,25.23,KWH Logistics,33.46,383.28,568.35
03/05/2024,Vaskiluoto Power Plant,North,6726.74,1839.53,31337.33,1789.37,2.47,26.39,Wasaline,13.72,446.69,592.27
03/06/2024,Wartsila Smart Technology Hub,North,9649.4,5484.7,61096.61,2143.6,20.48,20.19,Ahola Transport,16.06,142.69,161.86
03/07/2024,Vaasa Logistics Center,North,4205.68,795.85,54905.9,957.74,40.33,42.63,Ahola Transport,8.68,76.26,494.44
03/08/2024,Kivihaka Distribution Center,East,5732.02,1043.98,10639.08,1992.91,1.45,21.09,Ahola Transport,11.92,341.7,347.51
03/09/2024,Kivihaka Distribution Center,South,6163.47,5284.25,88025.23,226.85,12.35,15.08,Ahola Transport,20.46,244.21,938.82
03/10/2024,Wartsila Smart Technology Hub,West,4675.26,1234.47,84256.71,1320.73,24.97,26.18,Ahola Transport,35.6,222.45,674.66
03/11/2024,Vaskiluoto Power Plant,North,8294.63,3686.5,61690.68,414.34,37.31,39.44,LEKO Logistics,30.8,366.63,291.08
03/12/2024,Vaskiluoto Power Plant,North,4957.18,4497.03,27574.35,981.2,43.11,0.55,Oy EL-Ho Oy,39.94,263.71,998.01
03/13/2024,ABB Vaasa Factory,East,2340.45,4782.1,91291.54,249.46,13.9,37.58,Oy EL-Ho Oy,0.42,198.61,366.32
03/14/2024,Wartsila Smart Technology Hub,East,3755.36,983.89,69018.01,1250.92,39.59,30.65,LEKO Logistics,6.01,346.07,471.25
03/15/2024,Wartsila Smart Technology Hub,West,3623.57,3238.4,29772.21,1939.66,5.12,38.01,KWH Logistics,33.09,423.93,339.5
03/16/2024,ABB Vaasa Factory,East,5363.28,991.91,79793.94,2013.13,47.83,47.42,LEKO Logistics,28.99,388.44,733.87
03/17/2024,Wartsila Smart Technology Hub,West,9454.39,3263.12,79452.61,2068.62,25.02,7.28,LEKO Logistics,26.96,490.56,748.16
03/18/2024,Vaasa Logistics Center,West,5630.64,2265.42,71121.81,1136.24,3.18,22.56,KWH Logistics,27.3,307.87,620.71
03/19/2024,ABB Vaasa Factory,East,8411.2,4616.39,77272.64,1244.46,13.77,40.93,Wasaline,32.69,350.02,741.3
03/20/2024,Vaskiluoto Power Plant,West,5382.58,3886.18,74373.55,609.7,25.24,37.49,LEKO Logistics,0.44,253.26,432.82
03/21/2024,Wartsila Smart Technology Hub,East,6404.26,2471.79,36685.41,1279.58,35.73,23.19,KWH Logistics,23.02,94.02,122.99
